Designator,Footprint,Quantity,Value,LCSC Part #
C1,C0805,1,10uF,C1222438
C2,C0603,1,1uF,C513775
C3,C0402,1,220pF,C107025
C4,C0603,1,100nF,C30926
CN1,CONN-SMD_7P-P1.25_HCTL_HC-GH-7PWTKK,1,HC-GH-7PWTKK,C3011949
"D10, D20",SOD-123FL_L2.8-W1.8-LS3.7-RD,2,1N4007,C2902912
"LED1, LED2, LED3, LED4, LED5, LED6",LED0603-RD,6,blue,C84266
P10,CONN-TH_4P-P3.81_KF124-3.81-4P,1,WJ124-3.81-4P,C69809
"P11, P21, P30",CONN-TH_2P-P3.81_KF124-3.81-2P,3,WJ124-3.81-2P,C69811
"R1, R10, R2, R20, R3, R30, R4, R5, R6",R0603,9,1K,C22548
"R11, R21",R0603,2,150,C114608
"R12, R22",RES-TH_L12.5-W6.2-P7.50-D0.9-S6.20,2,10D391K,C139984
"R13, R23",RES-TH_BD2.2-L6.5-P10.50-D0.6,2,RN1/2WS249KΩFT/BA1,C385480
RN1,RES-ARRAY-SMD_0603-8P-L3.2-W1.6-BL,1,CRA034RJ82RP05,C429276
RN2,RES-ARRAY-SMD_0603-8P-L3.2-W1.6-BL,1,10K,C396839
U1,VQFN-24_L4.0-W4.0-P0.50-TL-EP2.7,1,XMC1302-Q024X0032-AB,C5121285
"U10, U20",DIP-8_7P-L9.7-W6.4-P2.54-LS7.6-BL-PE7,2,AQH2223,C128520
"U11, U21",DIP-8_L9.4-W6.4-P2.54-LS9.1-BL,2,6N139M,C4071
U30,SOP-4_L4.3-W4.4-P2.54-LS7.0-BL,1,AQY282SX,C250827
